### Metrics File V1.1
Metrics for HAVO3B1
Day: 07:00:00 to 18:59:59
Night: 19:00:00 to 06:59:59
Summer: May to Aug
Winter: Oct to Feb
Fall: Sep to Sep
Spring: Mar to Apr
Source of Interest: Aircraft
Truncated dBA (also referenced as dBT) Frequency Range: 20Hz to 1250Hz

Median dBA values by Hour, Winter (n = 206hrs)
Hr	Lmin	L099	L090	Lnat	L050	L010	L001	Lmax	Leq
01	38.8	34.5	31.2	28.6	27.2	26.5	26.3	26.1	25.9	25.5	24.4	23.0	21.6	20.4	20.0	19.8	18.9	17.1	16.0	15.1	12.3	10.3	08.2	06.3	05.6	05.7	06.3	06.7	07.5	08.2	08.1	08.3	07.4
02	38.9	35.0	31.7	29.3	27.8	27.3	27.0	26.5	25.7	24.9	23.6	22.0	20.6	20.1	20.8	20.3	19.4	17.1	16.1	14.4	11.9	09.9	08.0	06.3	05.7	05.8	06.3	06.7	07.5	08.2	08.1	08.3	07.4
03	34.5	31.4	28.6	26.5	25.4	24.6	24.1	23.8	23.4	22.8	22.0	20.4	19.6	18.5	16.4	15.9	15.0	12.4	11.5	09.8	07.3	05.7	04.8	04.6	04.8	05.5	06.3	06.6	07.5	08.2	08.1	08.3	07.4
04	38.0	33.9	31.2	29.4	28.7	27.4	27.4	27.3	26.4	26.2	25.4	23.6	21.8	20.7	20.0	19.5	18.9	17.2	16.2	15.2	12.4	10.4	08.2	06.3	05.5	05.7	06.4	06.7	07.6	08.3	08.2	08.3	07.5
05	38.8	35.1	31.6	29.1	28.0	27.0	26.7	26.7	26.9	26.1	24.8	23.6	22.2	21.4	21.0	20.0	18.9	16.7	15.7	14.6	11.6	09.4	07.4	05.8	05.2	05.6	06.3	06.7	07.5	08.2	08.2	08.4	07.5
06	30.3	28.4	27.1	25.2	25.2	23.4	24.4	24.1	23.3	21.1	19.5	17.4	15.6	11.1	10.9	12.5	12.1	09.9	09.1	07.2	04.6	03.6	03.5	04.1	04.6	05.4	06.2	06.6	07.4	08.1	08.1	08.3	07.5
07	34.4	32.0	30.3	27.9	27.3	26.1	26.0	25.8	25.5	24.6	22.7	20.9	19.1	17.4	16.1	15.5	15.0	13.4	12.1	10.3	07.4	05.5	04.5	04.3	04.6	05.4	06.2	06.6	07.5	08.2	08.1	08.3	07.5
08	37.5	34.9	32.7	30.4	29.3	28.8	28.3	28.7	28.3	27.4	25.9	24.2	22.1	21.0	19.6	18.8	18.2	16.4	15.3	13.4	10.9	08.9	07.3	05.8	05.3	05.7	06.4	06.8	07.6	08.3	08.2	08.4	07.6
09	42.2	38.4	35.8	33.0	30.5	30.6	29.7	29.3	28.5	28.2	26.8	25.2	23.7	22.7	22.0	21.3	20.8	18.8	17.6	16.1	13.6	11.4	09.2	07.1	06.1	06.1	06.5	06.9	07.6	08.2	08.2	08.4	07.5
10	40.0	36.9	34.9	32.1	30.1	30.2	28.9	28.9	28.2	27.2	26.0	24.7	23.2	22.1	21.1	19.8	19.2	17.3	16.0	14.3	11.5	09.1	07.2	05.8	05.3	05.8	06.3	06.6	07.5	08.2	08.1	08.3	07.3
11	37.6	34.6	33.4	30.4	29.2	28.7	27.7	27.4	26.7	26.0	24.6	22.6	21.2	20.4	18.9	17.2	16.3	14.6	13.3	12.0	09.4	07.5	06.1	05.2	05.1	05.6	06.3	06.7	07.5	08.2	08.1	08.3	07.3
12	35.3	33.3	32.0	29.3	28.9	27.6	28.0	26.6	25.9	25.4	23.4	21.6	20.0	18.2	16.2	14.6	13.4	11.6	10.4	09.2	07.7	06.3	05.4	05.2	05.4	06.0	06.7	07.1	07.9	08.6	08.6	08.6	07.5
13	35.0	33.8	33.4	31.4	29.2	30.1	28.3	28.4	27.1	26.0	24.2	22.0	20.2	18.6	15.5	14.5	13.7	12.5	12.3	11.2	09.8	07.3	05.7	04.9	05.3	06.0	06.8	07.1	08.0	08.7	08.6	08.6	07.5
14	36.3	34.8	33.1	30.1	28.5	26.9	26.2	26.0	25.1	23.6	22.3	21.2	19.6	18.5	15.9	15.3	14.8	13.2	12.1	10.6	08.2	06.3	05.1	04.6	04.8	05.6	06.4	06.9	07.8	08.4	08.2	08.4	07.3
15	32.0	30.0	29.4	27.1	25.9	24.9	24.1	23.1	21.9	20.8	19.6	18.9	17.6	16.3	13.1	11.6	10.1	08.9	07.5	07.1	05.7	04.2	03.8	04.1	04.6	05.4	06.2	06.6	07.3	08.1	08.0	08.2	07.3
