"SiteID","Noise","Aircraft","Motors","Over-snow Vehicles","$L_{A50}$ Day","$L_{A50}$ Night","$L_{Anat}$ Day","$L_{Anat}$ Night"
"KAWW001",40.9958333333333,10.1458333333333,13.4583333333333,17.7791666666667,29.4,26.8,27.4,26
"KAWW002",47.4791666666667,16.6666666666667,8.52083333333333,21.4625,23.1,16.8,19.1,16.3
"KAWW004",19.2333333333333,11.4458333333333,2.1375,4.15833333333333,24.4,20.3,23,20.3
