"SiteID","Source Description","00h","01h","02h","03h","04h","05h","06hr","07hr","08h","09h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h"
"KAWW002","Aircraft",0,0,0.7,0,0.3,0,0,0.7,0,0,0,1,0,0.3,0,1.3,0,0.3,0,0,0.3,0.3,0,0.3
"KAWW002","Jet",5,9.3,8.3,11.3,14.7,22,19.3,8.7,5,7.7,17,18.3,19.3,15.3,14.3,14.3,12.3,16,6,10,16.3,11,7,5
"KAWW002","Prop",0,0,0,0.7,1.3,7.7,10.7,0.3,5,6.3,9.3,3,4.7,7.7,5,6,9.3,2.3,12,2.7,2,5,2.7,0
"KAWW002","Oversnow Vehicle",0,0,0,0,0.3,0.3,0.7,10,9.7,46,45,40.7,29,32.7,37.7,47.7,52.3,44.3,34.7,27,29.3,12.7,8,7
"KAWW002","Train Rumble",0,0,0,0.7,2.7,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0
"KAWW002","Train Whistle",0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0
"KAWW002","Motor Sounds",1.7,1,4,3.3,8,13,13,22.3,18,7.3,5.3,6.3,1.3,7.3,11.7,8,9.3,13,9.3,7.7,3.3,5,5.7,19.7
"KAWW002","Voices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0
"KAWW002","Non-natural Unknown",2,0.7,4,4.7,4.7,6.3,10,1.7,3,6,7.3,7,9.7,4.3,5,6.7,3,6.7,7.7,2.3,0,2,1.7,1
"KAWW002","Wind",1.3,14,15.3,14.3,7.7,2.7,0.3,2,1,2,4.7,17,25,16.3,13,11,10.3,11.7,9,10.7,3.3,2.7,0.3,4
"KAWW002","Wind, Light (not masking)",17.3,29.7,25.3,28.3,21.3,9.7,6,5,12.3,20.7,23,23.3,32.7,46.3,41.3,40,27.7,21.7,21.7,24.7,35.3,32.3,25,22.3
"KAWW002","Wind, Strong (masking)",0.3,0,1,0.3,0.3,0,0,0,0,0,2,0.7,2.3,0,0.3,0,0,0.7,5.3,4,0.3,0,0,1
"KAWW002","Water",0,3,2,11.3,7,2.7,3.7,5,3,11,21.7,22,24,25.3,26,21.3,17.7,16.7,16,13.3,10.7,18.7,20.3,22.7
"KAWW002","Rain, Fog Drip",9.3,9.7,8.7,7,9,10.3,7.7,11.7,10,10,16.3,12,15,19,20,20,19.7,19,7,2.3,0.3,1,1.7,3.3
"KAWW002","Snowfall",0,0.7,0,0,0,0,0,0,0,0,1.7,2.7,7,8.3,10.3,10,10,16.3,7.7,9,12.3,10,10.7,10.3
"KAWW002","Mammal",0,0,0,0,0,0,0,3,7.3,8.3,6.7,6.3,10.7,10.7,8.3,2,1,0,0.7,0,0.3,0.3,0.7,0.7
"KAWW002","Squirrel",0,0,0,0,0,0,0,0,0.3,1,0.3,0,0.7,0.3,0.7,0,0,0,0,0,0,0,0,0
"KAWW002","Bird",14.3,12.7,14,15.3,17.3,11,40.7,63.7,54,39.7,38,32.7,32.7,28.7,31,22,19,10.3,9,11.7,13.7,15.3,11,13
"KAWW002","Animal",0.3,0.3,0.3,0.7,0,0.7,0.3,0.7,2,0.7,0.3,0.7,0.3,0.3,2.3,0,0,0,0.7,0,0,0,0.3,0.3
"KAWW002","Natural Other",16,23.3,23.7,20.7,22,22.3,18,19.7,18,19.7,17.7,19,12.7,13.7,12.7,8,4.7,5.3,2.3,1.7,6.3,5.3,7.3,5.3
"KAWW002","Wind-induced Natural",6.3,20,25.3,25.7,23.7,12.7,6,13.3,15,25.7,22.3,21.3,34,33.7,32.3,26.7,16.7,24.3,37,27.3,21.3,17.7,18,27.7
"KAWW002","Natural Unknown",0.7,2,0.7,1,0,1.3,0.7,0.3,0.7,0,1,4.3,1,0.3,0,1,1,0.7,0.3,0,0.7,0,0,0.3
"KAWW002","Artifact",0.3,0.3,0.3,0.3,0,0.7,0,0.7,0,2,1.7,1.7,2,2,1,0.7,0,0.3,0.3,1.3,1.7,0,1.3,0.3
"KAWW002","Wind distortion",0,0.3,0,0.3,0,0,0,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0.3,0,0,0,0,0
"KAWW002","Static/interference- quiet",40.7,39.7,39.3,38.7,40.3,40,39.7,40,39.7,38,27.3,18.7,18.3,11.7,9.7,10,19,25.7,38.3,39.7,39.7,40,40,40
"KAWW002","Unknown",1,0.7,1.3,0.3,0.3,0.7,0.7,0,0.3,0.7,0.3,0.7,0.7,0,0,0.7,0,0.3,0,0.3,0,0,0,0
