"Site ID","Impact (dBA)","Listening Area 
 Reduction (%)","Impact (dBA)","Listening Area 
 Reduction (%)","Impact (dBA)","Listening Area 
 Reduction (%)"
"KAWW001",2,36.9042655519807,0.800000000000001,16.8236228897329,1.4,26.8639442208568
"KAWW002",4,60.1892829446503,0.5,10.8749061866254,2.25,35.5320945656379
"KAWW004",1.4,27.556403992501,0,0,0.699999999999999,13.7782019962505
